TIME,DATE,@ActExtTorque6,@ActConsumpPower
12:29:10,20200822,20.03,19.9
12:29:21,20200822,19.82,19.9
12:29:36,20200822,20.07,20.3
12:29:46,20200822,20.07,20.3
12:29:56,20200822,19.94,19.8
12:30:11,20200822,19.9,20.1
12:30:21,20200822,19.9,19.6
12:30:32,20200822,20.11,18.7
12:30:47,20200822,19.86,18.4
12:30:57,20200822,19.99,18.1
12:31:07,20200822,19.99,17.0
12:31:23,20200822,19.86,16.0
12:31:33,20200822,19.69,15.7
12:31:48,20200822,19.94,14.8
12:31:59,20200822,20.03,14.4
12:32:09,20200822,20.11,14.7
12:32:24,20200822,19.9,14.6
12:32:34,20200822,19.9,14.7
12:32:50,20200822,19.69,15.3
12:33:00,20200822,19.78,16.1
12:33:10,20200822,19.9,15.9
12:33:25,20200822,19.99,17.4
12:33:35,20200822,19.94,18.5
12:33:46,20200822,19.94,19.4
12:34:01,20200822,19.78,20.1
12:34:11,20200822,19.65,21.3
12:34:21,20200822,20.2,21.8
12:34:37,20200822,20.07,21.4
12:34:47,20200822,20.07,21.4
12:35:02,20200822,19.9,21.2
12:35:12,20200822,20.07,20.3
12:35:22,20200822,20.11,19.8
12:35:38,20200822,20.11,19.5
12:35:48,20200822,20.36,19.3
12:35:58,20200822,20.07,19.0
12:36:13,20200822,19.82,19.0
12:36:23,20200822,19.69,19.1
12:36:38,20200822,19.78,18.3
12:36:49,20200822,19.69,17.7
12:36:59,20200822,19.65,17.3
12:37:14,20200822,19.69,16.6
12:37:24,20200822,19.69,15.8
12:37:34,20200822,19.57,15.3
12:37:50,20200822,19.48,15.0
12:38:00,20200822,19.57,14.7
12:38:15,20200822,19.9,15.0
12:38:25,20200822,20.07,15.1
12:38:36,20200822,20.07,14.7
12:38:51,20200822,19.69,15.6
12:39:01,20200822,19.61,16.1
12:39:16,20200822,19.82,16.5
12:39:26,20200822,19.65,18.2
12:39:36,20200822,19.78,18.8
12:39:52,20200822,19.94,19.5
12:40:02,20200822,19.94,20.9
12:40:12,20200822,19.99,21.5
12:40:27,20200822,19.86,22.9
12:40:37,20200822,19.74,23.5
12:40:53,20200822,20.49,23.3
12:41:03,20200822,20.24,22.6
12:41:13,20200822,19.9,22.8
12:41:28,20200822,20.15,21.7
12:41:38,20200822,20.24,21.1
12:41:54,20200822,20.15,20.9
12:42:04,20200822,20.36,20.1
12:42:14,20200822,20.28,19.1
12:42:29,20200822,20.2,18.5
12:42:40,20200822,20.07,17.5
12:42:50,20200822,20.03,16.7
12:43:05,20200822,20.24,16.4
12:43:15,20200822,19.99,15.4
12:43:30,20200822,19.57,14.8
12:43:40,20200822,19.82,14.7
12:43:51,20200822,19.69,14.6
12:44:06,20200822,19.78,14.3
12:44:16,20200822,19.94,15.0
12:44:26,20200822,19.9,15.1
12:44:42,20200822,20.15,15.5
12:44:52,20200822,20.36,16.3
12:45:07,20200822,20.07,17.4
12:45:17,20200822,20.11,17.5
12:45:27,20200822,20.15,17.6
12:45:43,20200822,19.74,17.7
12:45:53,20200822,19.82,17.4
12:46:03,20200822,20.11,17.2
12:46:18,20200822,20.03,17.7
12:46:28,20200822,20.28,18.0
12:46:43,20200822,19.99,17.8
12:46:54,20200822,19.99,17.9
12:47:04,20200822,20.07,18.1
12:47:19,20200822,20.24,17.9
12:47:29,20200822,19.94,17.8
12:47:40,20200822,20.11,17.9
12:47:55,20200822,20.32,18.0
12:48:05,20200822,20.15,17.6
12:48:20,20200822,19.94,17.6
12:48:30,20200822,20.15,18.1
12:48:40,20200822,20.07,17.9
12:48:55,20200822,20.11,19.1
12:49:06,20200822,20.2,20.1
12:49:21,20200822,20.28,20.1
12:49:31,20200822,20.07,20.8
12:49:41,20200822,19.94,21.3
12:49:57,20200822,20.15,21.2
12:50:07,20200822,20.28,20.5
12:50:22,20200822,20.53,20.4
12:50:32,20200822,20.45,19.3
12:50:43,20200822,20.32,18.1
12:50:58,20200822,20.28,17.4
12:51:08,20200822,19.94,16.4
12:51:18,20200822,19.99,15.6
12:51:34,20200822,20.15,15.5
12:51:44,20200822,19.57,15.5
12:51:54,20200822,19.78,15.5
12:52:09,20200822,20.03,15.7
12:52:19,20200822,19.86,16.8
12:52:35,20200822,20.03,17.6
12:52:45,20200822,20.03,18.3
12:52:55,20200822,20.07,19.4
12:53:10,20200822,20.24,19.8
12:53:21,20200822,20.07,20.4
12:53:31,20200822,20.07,21.3
12:53:46,20200822,20.24,21.6
12:53:56,20200822,19.9,21.9
12:54:12,20200822,20.07,22.4
12:54:22,20200822,19.86,21.5
12:54:32,20200822,19.86,20.3
12:54:47,20200822,19.82,19.5
12:54:57,20200822,19.86,18.2
12:55:08,20200822,19.65,17.1
12:55:23,20200822,19.78,16.0
12:55:33,20200822,20.03,15.2
12:55:43,20200822,19.99,14.3
12:55:59,20200822,19.61,14.2
12:56:09,20200822,19.53,14.3
12:56:24,20200822,19.65,15.1
12:56:34,20200822,19.86,16.1
12:56:44,20200822,19.74,17.2
12:57:00,20200822,19.61,18.5
12:57:10,20200822,19.86,19.2
12:57:20,20200822,20.15,19.9
12:57:35,20200822,20.11,20.8
12:57:46,20200822,19.78,21.0
12:58:01,20200822,19.99,20.5
12:58:11,20200822,19.9,19.9
12:58:21,20200822,20.41,19.2
12:58:37,20200822,20.32,18.0
12:58:47,20200822,20.2,17.6
12:58:57,20200822,20.11,16.7
12:59:12,20200822,20.41,16.0
12:59:23,20200822,20.49,16.2
12:59:38,20200822,20.24,16.0
12:59:48,20200822,20.24,15.5
12:59:58,20200822,20.07,15.8
13:00:13,20200822,20.2,16.1
13:00:24,20200822,20.07,16.2
13:00:34,20200822,20.15,16.8
13:00:49,20200822,20.11,17.6
13:00:59,20200822,19.78,18.3
13:01:15,20200822,20.41,19.2
13:01:25,20200822,20.41,19.9
13:01:35,20200822,20.36,20.3
13:01:50,20200822,20.28,21.4
13:02:01,20200822,19.94,21.8
13:02:11,20200822,20.28,21.9
13:02:26,20200822,20.24,22.3
13:02:36,20200822,20.11,21.9
13:02:52,20200822,20.2,20.5
13:03:02,20200822,20.2,20.1
13:03:12,20200822,20.03,19.3
13:03:27,20200822,20.07,18.2
13:03:37,20200822,19.94,17.2
13:03:48,20200822,19.86,17.3
13:04:03,20200822,19.82,16.1
13:04:13,20200822,19.94,15.5
13:04:28,20200822,19.78,15.3
13:04:38,20200822,20.07,14.9
13:04:49,20200822,19.82,14.4
13:05:04,20200822,19.94,14.0
13:05:14,20200822,19.9,14.4
13:05:24,20200822,19.94,14.6
13:05:40,20200822,19.9,14.8
13:05:50,20200822,19.94,15.6
13:06:05,20200822,20.11,16.0
13:06:15,20200822,20.15,16.5
13:06:25,20200822,19.82,17.4
13:06:41,20200822,19.78,18.2
13:06:51,20200822,19.94,18.3
13:07:01,20200822,20.41,18.6
13:07:16,20200822,20.24,19.2
13:07:26,20200822,20.45,19.7
13:07:42,20200822,20.36,19.6
13:07:52,20200822,20.28,19.6
13:08:07,20200822,20.2,19.9
13:08:17,20200822,20.28,19.3
13:08:28,20200822,19.94,19.1
13:08:43,20200822,19.99,19.1
13:08:53,20200822,20.11,18.5
13:09:03,20200822,20.32,18.3
13:09:18,20200822,20.2,17.9
13:09:28,20200822,20.07,17.7
13:09:39,20200822,19.82,18.2
13:09:54,20200822,19.82,18.8
13:10:04,20200822,19.86,19.1
13:10:14,20200822,19.78,20.6
13:10:29,20200822,20.11,21.1
13:10:40,20200822,19.9,20.3
13:10:55,20200822,19.82,20.5
13:11:05,20200822,19.9,20.9
13:11:15,20200822,19.82,20.1
13:11:30,20200822,19.99,19.2
13:11:41,20200822,20.03,18.6
13:11:51,20200822,19.74,17.8
13:12:06,20200822,19.57,17.1
13:12:16,20200822,19.78,16.4
13:12:32,20200822,19.74,15.4
13:12:42,20200822,19.69,15.3
13:12:57,20200822,19.86,15.4
13:13:07,20200822,19.74,16.0
13:13:17,20200822,19.82,16.5
13:13:32,20200822,19.78,18.0
13:13:43,20200822,20.36,18.3
13:13:53,20200822,20.15,19.6
13:14:08,20200822,19.9,20.5
13:14:18,20200822,19.86,20.4
13:14:33,20200822,19.86,20.9
13:14:44,20200822,19.9,21.5
13:14:54,20200822,19.9,21.3
13:15:09,20200822,19.9,21.3
13:15:19,20200822,20.24,20.7
13:15:29,20200822,20.07,20.0
13:15:44,20200822,19.99,19.3
13:15:55,20200822,20.24,18.7
13:16:10,20200822,19.94,18.2
13:16:20,20200822,20.11,17.8
13:16:30,20200822,20.03,16.6
13:16:46,20200822,19.9,16.0
13:16:56,20200822,19.69,15.4
13:17:06,20200822,19.82,14.9
13:17:21,20200822,19.65,14.3
13:17:31,20200822,19.4,14.3
13:17:47,20200822,19.48,14.3
13:17:57,20200822,19.9,14.8
13:18:07,20200822,20.03,15.6
13:18:22,20200822,20.24,15.9
13:18:33,20200822,20.11,15.9
13:18:43,20200822,20.07,16.3
13:18:58,20200822,20.15,16.6
13:19:08,20200822,19.94,16.8
13:19:19,20200822,19.78,17.5
13:19:34,20200822,19.82,18.5
13:19:44,20200822,20.36,19.0
13:19:59,20200822,20.03,19.4
13:20:10,20200822,19.94,20.3
13:20:25,20200822,19.61,20.9
13:20:35,20200822,19.99,21.6
13:20:45,20200822,19.9,22.1
13:21:01,20200822,20.15,22.6
13:21:11,20200822,20.24,22.7
13:21:21,20200822,19.9,22.7
13:21:31,20200822,20.03,22.2
13:21:47,20200822,19.86,21.5
13:21:57,20200822,20.15,21.1
13:22:12,20200822,19.9,20.0
